date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-05,3.09,3.17,3.11,3.07,242645.69,0.02,0.65,3.194,3.322,3.39,321064.51,293317.94,357641.31,0.7
2020-02-04,3.01,3.11,3.09,3.01,275378.94,0.06,1.98,3.258,3.362,3.399,302708.32,292076.72,358045.46,0.8
2020-02-03,3.0,3.1,3.03,3.0,669723.94,-0.3,-9.01,3.338,3.401,3.406,279487.1,279375.53,352589.93,1.94
2020-01-23,3.41,3.42,3.33,3.3,253257.25,-0.08,-2.35,3.428,3.448,3.417,282789.31,238829.43,325288.87,0.73
2020-01-22,3.42,3.45,3.41,3.36,164316.72,-0.02,-0.58,3.442,3.464,3.412,268581.31,243804.7,317496.22,0.48
2020-01-21,3.46,3.48,3.43,3.42,150864.77,-0.06,-1.72,3.45,3.472,3.404,265571.37,293458.9,314185.38,0.44
2020-01-20,3.5,3.5,3.49,3.45,159272.81,0.01,0.29,3.466,3.479,3.393,281445.11,340991.83,313789.86,0.46
2020-01-17,3.42,3.53,3.48,3.41,686235.0,0.08,2.35,3.464,3.468,3.382,279263.96,388245.27,311091.52,1.99
2020-01-16,3.46,3.46,3.4,3.39,182217.25,-0.05,-1.45,3.468,3.461,3.373,194869.55,350258.57,283135.37,0.53
2020-01-15,3.5,3.5,3.45,3.44,149267.03,-0.06,-1.71,3.486,3.466,3.366,219028.08,397158.99,282905.1,0.43
2020-01-14,3.52,3.53,3.51,3.48,230233.47,0.03,0.86,3.494,3.457,3.358,321346.42,421964.68,289290.96,0.67
2020-01-13,3.49,3.5,3.48,3.44,148367.05,-0.02,-0.57,3.492,3.435,3.345,400538.54,424014.2,285560.39,0.43
2020-01-10,3.5,3.5,3.5,3.43,264262.94,0.01,0.29,3.472,3.411,3.333,497226.57,425804.33,285413.5,0.76
2020-01-09,3.5,3.53,3.49,3.47,303009.91,0.0,0.0,3.454,3.385,3.318,505647.59,411748.32,275716.96,0.88
2020-01-08,3.55,3.56,3.49,3.44,660858.75,-0.01,-0.29,3.446,3.359,3.304,575289.91,391187.75,265679.52,1.91
2020-01-07,3.37,3.5,3.5,3.35,626194.06,0.12,3.55,3.42,3.335,3.29,522582.93,334911.86,239089.44,1.81
2020-01-06,3.38,3.4,3.38,3.29,631807.19,-0.03,-0.88,3.378,3.307,3.277,447489.86,286587.89,212005.65,1.83
2020-01-03,3.44,3.44,3.41,3.39,306368.03,-0.04,-1.16,3.35,3.296,3.27,354382.09,233937.78,184621.14,0.89
2020-01-02,3.39,3.5,3.45,3.35,651221.5,0.09,2.68,3.316,3.284,3.261,317849.05,216012.17,172996.78,1.88
2019-12-31,3.29,3.37,3.36,3.28,397323.88,0.07,2.13,3.272,3.266,3.249,207085.6,168651.21,143928.37,1.15
